날짜,지역,방문자수,연령대,성별,이벤트 종류,참여자수,참여비율
2023-01-01,제주,19,장년,여,홍보 부스 운영,10,52.63157894736842
2023-01-01,제주,26,노년,남,홍보 부스 운영,2,7.6923076923076925
2023-01-01,제주,22,노년,여,홍보 부스 운영,14,63.63636363636363
2023-01-01,전북,13,청소년,남,워크숍 개최,3,23.076923076923077
2023-01-01,전북,27,청소년,여,워크숍 개최,2,7.4074074074074066
2023-01-01,전북,36,청년,남,워크숍 개최,5,13.88888888888889
2023-01-01,전북,6,청년,여,워크숍 개최,0,0.0
2023-01-01,전북,32,장년,남,워크숍 개최,16,50.0
2023-01-01,전북,29,장년,여,워크숍 개최,11,37.93103448275862
2023-01-01,전북,37,노년,남,워크숍 개최,10,27.027027027027028
2023-01-01,전북,33,노년,여,워크숍 개최,9,27.27272727272727
2023-01-01,대전,5,청소년,남,재활용 품목 수집 이벤트,2,40.0
2023-01-01,대전,12,청소년,여,재활용 품목 수집 이벤트,8,66.66666666666666
2023-01-01,대전,25,청년,남,재활용 품목 수집 이벤트,2,8.0
2023-01-01,대전,4,청년,여,재활용 품목 수집 이벤트,2,50.0
2023-01-01,대전,30,장년,남,재활용 품목 수집 이벤트,7,23.333333333333332
2023-01-01,대전,5,장년,여,재활용 품목 수집 이벤트,0,0.0
2023-01-01,대전,11,노년,남,재활용 품목 수집 이벤트,5,45.45454545454545
2023-01-01,대전,3,노년,여,재활용 품목 수집 이벤트,1,33.33333333333333
2023-01-02,대구,37,청소년,남,재활용 아트 전시,20,54.054054054054056
2023-01-02,대구,8,청소년,여,재활용 아트 전시,5,62.5
2023-01-02,대구,8,청년,남,재활용 아트 전시,2,25.0
2023-01-02,대구,12,청년,여,재활용 아트 전시,4,33.33333333333333
2023-01-02,대구,32,장년,남,재활용 아트 전시,13,40.625
2023-01-02,대구,24,장년,여,재활용 아트 전시,10,41.66666666666667
2023-01-02,대구,17,노년,남,재활용 아트 전시,8,47.05882352941176
2023-01-02,대구,14,노년,여,재활용 아트 전시,7,50.0
2023-01-02,서울,29,청소년,남,홍보 부스 운영,20,68.96551724137932
2023-01-02,서울,27,청소년,여,홍보 부스 운영,3,11.11111111111111
2023-01-02,서울,9,청년,남,홍보 부스 운영,0,0.0
2023-01-02,서울,19,청년,여,홍보 부스 운영,1,5.263157894736842
2023-01-02,서울,20,장년,남,홍보 부스 운영,16,80.0
2023-01-02,서울,39,장년,여,홍보 부스 운영,11,28.205128205128204
2023-01-02,서울,36,노년,남,홍보 부스 운영,0,0.0
2023-01-02,서울,18,노년,여,홍보 부스 운영,5,27.77777777777778
2023-01-02,충북,12,청소년,남,홍보 부스 운영,11,91.66666666666666
2023-01-02,충북,26,청소년,여,홍보 부스 운영,19,73.07692307692307
2023-01-02,충북,27,청년,남,홍보 부스 운영,11,40.74074074074074
2023-01-02,충북,6,청년,여,홍보 부스 운영,5,83.33333333333334
2023-01-02,충북,21,장년,남,홍보 부스 운영,1,4.761904761904762
2023-01-02,충북,3,장년,여,홍보 부스 운영,0,0.0
2023-01-02,충북,30,노년,남,홍보 부스 운영,10,33.33333333333333
2023-01-02,충북,10,노년,여,홍보 부스 운영,0,0.0
2023-01-02,제주,24,청소년,남,재활용 품목 수집 이벤트,14,58.333333333333336
2023-01-02,제주,40,청소년,여,재활용 품목 수집 이벤트,17,42.5
2023-01-02,제주,23,청년,남,재활용 품목 수집 이벤트,5,21.73913043478261
2023-01-02,제주,31,청년,여,재활용 품목 수집 이벤트,14,45.16129032258064
2023-01-02,제주,10,장년,남,재활용 품목 수집 이벤트,8,80.0
2023-01-02,제주,20,장년,여,재활용 품목 수집 이벤트,11,55.00000000000001
2023-01-02,제주,9,노년,남,재활용 품목 수집 이벤트,4,44.44444444444444
2023-01-02,제주,11,노년,여,재활용 품목 수집 이벤트,0,0.0
2023-01-02,충남,19,청소년,남,홍보 부스 운영,9,47.368421052631575
2023-01-02,충남,1,청소년,여,홍보 부스 운영,0,0.0
2023-01-02,충남,19,청년,남,홍보 부스 운영,4,21.052631578947366
2023-01-02,충남,2,청년,여,홍보 부스 운영,1,50.0
2023-01-02,충남,22,장년,남,홍보 부스 운영,14,63.63636363636363
2023-01-02,충남,14,장년,여,홍보 부스 운영,12,85.71428571428571
2023-01-02,충남,32,노년,남,홍보 부스 운영,4,12.5
2023-01-02,충남,12,노년,여,홍보 부스 운영,6,50.0
2023-01-03,울산,37,청소년,남,워크숍 개최,10,27.027027027027028
2023-01-03,울산,2,청소년,여,워크숍 개최,1,50.0
2023-01-03,울산,3,청년,남,워크숍 개최,2,66.66666666666666
2023-01-03,울산,16,청년,여,워크숍 개최,13,81.25
2023-01-03,울산,35,장년,남,워크숍 개최,20,57.14285714285714
2023-01-03,울산,24,장년,여,워크숍 개최,9,37.5
2023-01-03,울산,29,노년,남,워크숍 개최,8,27.586206896551722
2023-01-03,울산,4,노년,여,워크숍 개최,0,0.0
2023-01-03,서울,30,청소년,남,재활용 아트 전시,19,63.33333333333333
2023-01-03,서울,38,청소년,여,재활용 아트 전시,17,44.73684210526316
2023-01-03,서울,24,청년,남,재활용 아트 전시,12,50.0
2023-01-03,서울,24,청년,여,재활용 아트 전시,15,62.5
2023-01-03,서울,5,장년,남,재활용 아트 전시,4,80.0
2023-01-03,서울,4,장년,여,재활용 아트 전시,3,75.0
2023-01-03,서울,26,노년,남,재활용 아트 전시,14,53.84615384615385
2023-01-03,서울,2,노년,여,재활용 아트 전시,1,50.0
2023-01-03,경남,27,청소년,남,워크숍 개최,14,51.85185185185185
2023-01-03,경남,9,청소년,여,워크숍 개최,0,0.0
2023-01-03,경남,38,청년,남,워크숍 개최,11,28.947368421052634
2023-01-03,경남,26,청년,여,워크숍 개최,16,61.53846153846154
2023-01-03,경남,28,장년,남,워크숍 개최,9,32.142857142857146
2023-01-03,경남,7,장년,여,워크숍 개최,4,57.14285714285714
2023-01-03,경남,2,노년,남,워크숍 개최,1,50.0
2023-01-03,경남,11,노년,여,워크숍 개최,4,36.36363636363637
2023-01-03,충북,24,청소년,남,홍보 부스 운영,2,8.333333333333332
2023-01-03,충북,22,청소년,여,홍보 부스 운영,13,59.09090909090909
2023-01-03,충북,39,청년,남,홍보 부스 운영,19,48.717948717948715
2023-01-03,충북,22,청년,여,홍보 부스 운영,17,77.27272727272727
2023-01-03,충북,9,장년,남,홍보 부스 운영,5,55.55555555555556
2023-01-03,충북,34,장년,여,홍보 부스 운영,18,52.94117647058824
2023-01-03,충북,28,노년,남,홍보 부스 운영,12,42.857142857142854
2023-01-03,충북,26,노년,여,홍보 부스 운영,19,73.07692307692307
2023-01-03,세종,18,청소년,남,재활용 품목 수집 이벤트,3,16.666666666666664
2023-01-03,세종,27,청소년,여,재활용 품목 수집 이벤트,16,59.25925925925925
2023-01-03,세종,1,청년,남,재활용 품목 수집 이벤트,0,0.0
2023-01-03,세종,12,청년,여,재활용 품목 수집 이벤트,10,83.33333333333334
2023-01-03,세종,7,장년,남,재활용 품목 수집 이벤트,4,57.14285714285714
2023-01-03,세종,14,장년,여,재활용 품목 수집 이벤트,13,92.85714285714286
2023-01-03,세종,20,노년,남,재활용 품목 수집 이벤트,12,60.0
2023-01-03,세종,7,노년,여,재활용 품목 수집 이벤트,1,14.285714285714285
2023-01-03,전북,38,청소년,남,재활용 품목 수집 이벤트,16,42.10526315789473
2023-01-03,전북,31,청소년,여,재활용 품목 수집 이벤트,5,16.129032258064516
2023-01-03,전북,17,청년,남,재활용 품목 수집 이벤트,16,94.11764705882352
2023-01-03,전북,31,청년,여,재활용 품목 수집 이벤트,5,16.129032258064516
2023-01-03,전북,8,장년,남,재활용 품목 수집 이벤트,0,0.0
2023-01-03,전북,38,장년,여,재활용 품목 수집 이벤트,20,52.63157894736842
2023-01-03,전북,14,노년,남,재활용 품목 수집 이벤트,4,28.57142857142857
2023-01-03,전북,27,노년,여,재활용 품목 수집 이벤트,18,66.66666666666666
2023-01-03,인천,32,청소년,남,게임 및 퀴즈,6,18.75
2023-01-03,인천,27,청소년,여,게임 및 퀴즈,17,62.96296296296296
2023-01-03,인천,13,청년,남,게임 및 퀴즈,1,7.6923076923076925
2023-01-03,인천,15,청년,여,게임 및 퀴즈,9,60.0
2023-01-03,인천,28,장년,남,게임 및 퀴즈,8,28.57142857142857
2023-01-03,인천,29,장년,여,게임 및 퀴즈,6,20.689655172413794
2023-01-03,인천,30,노년,남,게임 및 퀴즈,9,30.0
2023-01-03,인천,3,노년,여,게임 및 퀴즈,0,0.0
2023-01-03,경북,1,청소년,남,재활용 품목 수집 이벤트,0,0.0
2023-01-03,경북,35,청소년,여,재활용 품목 수집 이벤트,9,25.71428571428571
2023-01-03,경북,6,청년,남,재활용 품목 수집 이벤트,3,50.0
2023-01-03,경북,34,청년,여,재활용 품목 수집 이벤트,17,50.0
2023-01-03,경북,34,장년,남,재활용 품목 수집 이벤트,17,50.0
2023-01-03,경북,14,장년,여,재활용 품목 수집 이벤트,4,28.57142857142857
2023-01-03,경북,29,노년,남,재활용 품목 수집 이벤트,10,34.48275862068966
2023-01-03,경북,22,노년,여,재활용 품목 수집 이벤트,5,22.727272727272727
2023-01-03,부산,15,청소년,남,게임 및 퀴즈,10,66.66666666666666
2023-01-03,부산,9,청소년,여,게임 및 퀴즈,1,11.11111111111111
2023-01-03,부산,1,청년,남,게임 및 퀴즈,0,0.0
2023-01-03,부산,40,청년,여,게임 및 퀴즈,12,30.0
2023-01-03,부산,7,장년,남,게임 및 퀴즈,0,0.0
2023-01-03,부산,35,장년,여,게임 및 퀴즈,2,5.714285714285714
2023-01-03,부산,35,노년,남,게임 및 퀴즈,9,25.71428571428571
2023-01-03,부산,3,노년,여,게임 및 퀴즈,0,0.0
2023-01-03,충남,29,청소년,남,업사이클링 마켓,12,41.37931034482759
2023-01-03,충남,1,청소년,여,업사이클링 마켓,0,0.0
2023-01-03,충남,33,청년,남,업사이클링 마켓,19,57.57575757575758
2023-01-03,충남,8,청년,여,업사이클링 마켓,3,37.5
2023-01-03,충남,36,장년,남,업사이클링 마켓,0,0.0
2023-01-03,충남,10,장년,여,업사이클링 마켓,4,40.0
2023-01-03,충남,26,노년,남,업사이클링 마켓,11,42.30769230769231
2023-01-03,충남,6,노년,여,업사이클링 마켓,4,66.66666666666666
2023-01-03,대전,31,청소년,남,재활용 아트 전시,16,51.61290322580645
2023-01-03,대전,14,청소년,여,재활용 아트 전시,1,7.142857142857142
2023-01-03,대전,39,청년,남,재활용 아트 전시,18,46.15384615384615
2023-01-03,대전,31,청년,여,재활용 아트 전시,7,22.58064516129032
2023-01-03,대전,15,장년,남,재활용 아트 전시,13,86.66666666666667
2023-01-03,대전,14,장년,여,재활용 아트 전시,6,42.857142857142854
2023-01-03,대전,31,노년,남,재활용 아트 전시,4,12.903225806451612
2023-01-03,대전,29,노년,여,재활용 아트 전시,19,65.51724137931035
2023-01-04,인천,16,청소년,남,업사이클링 마켓,13,81.25
2023-01-04,인천,20,청소년,여,업사이클링 마켓,8,40.0
2023-01-04,인천,38,청년,남,업사이클링 마켓,0,0.0
2023-01-04,인천,35,청년,여,업사이클링 마켓,5,14.285714285714285
2023-01-04,인천,15,장년,남,업사이클링 마켓,5,33.33333333333333
2023-01-04,인천,29,장년,여,업사이클링 마켓,6,20.689655172413794
2023-01-04,인천,31,노년,남,업사이클링 마켓,18,58.06451612903226
2023-01-04,인천,29,노년,여,업사이클링 마켓,19,65.51724137931035
2023-01-04,세종,36,청소년,남,재활용 품목 수집 이벤트,9,25.0
2023-01-04,세종,28,청소년,여,재활용 품목 수집 이벤트,5,17.857142857142858
2023-01-04,세종,11,청년,남,재활용 품목 수집 이벤트,6,54.54545454545454
2023-01-04,세종,17,청년,여,재활용 품목 수집 이벤트,15,88.23529411764706
2023-01-04,세종,30,장년,남,재활용 품목 수집 이벤트,1,3.3333333333333335
2023-01-04,세종,19,장년,여,재활용 품목 수집 이벤트,17,89.47368421052632
2023-01-04,세종,26,노년,남,재활용 품목 수집 이벤트,0,0.0
2023-01-04,세종,9,노년,여,재활용 품목 수집 이벤트,8,88.88888888888889
2023-01-04,전북,22,청소년,남,게임 및 퀴즈,15,68.18181818181817
2023-01-04,전북,3,청소년,여,게임 및 퀴즈,1,33.33333333333333
2023-01-04,전북,33,청년,남,게임 및 퀴즈,16,48.484848484848484
2023-01-04,전북,40,청년,여,게임 및 퀴즈,19,47.5
2023-01-04,전북,39,장년,남,게임 및 퀴즈,12,30.76923076923077
2023-01-04,전북,10,장년,여,게임 및 퀴즈,4,40.0
2023-01-04,전북,40,노년,남,게임 및 퀴즈,7,17.5
2023-01-04,전북,38,노년,여,게임 및 퀴즈,3,7.894736842105263
2023-01-04,부산,39,청소년,남,홍보 부스 운영,10,25.64102564102564
2023-01-04,부산,35,청소년,여,홍보 부스 운영,7,20.0
2023-01-04,부산,3,청년,남,홍보 부스 운영,2,66.66666666666666
2023-01-04,부산,26,청년,여,홍보 부스 운영,1,3.8461538461538463
2023-01-04,부산,7,장년,남,홍보 부스 운영,1,14.285714285714285
2023-01-04,부산,37,장년,여,홍보 부스 운영,3,8.108108108108109
2023-01-04,부산,18,노년,남,홍보 부스 운영,6,33.33333333333333
2023-01-04,부산,4,노년,여,홍보 부스 운영,1,25.0
2023-01-04,충남,34,청소년,남,재활용 아트 전시,20,58.82352941176471
2023-01-04,충남,23,청소년,여,재활용 아트 전시,4,17.391304347826086
2023-01-04,충남,14,청년,남,재활용 아트 전시,8,57.14285714285714
2023-01-04,충남,2,청년,여,재활용 아트 전시,1,50.0
2023-01-04,충남,27,장년,남,재활용 아트 전시,5,18.51851851851852
2023-01-04,충남,18,장년,여,재활용 아트 전시,8,44.44444444444444
2023-01-04,충남,18,노년,남,재활용 아트 전시,14,77.77777777777779
2023-01-04,충남,15,노년,여,재활용 아트 전시,2,13.333333333333334
2023-01-04,제주,24,청소년,남,커뮤니티 청소 활동,14,58.333333333333336
2023-01-04,제주,39,청소년,여,커뮤니티 청소 활동,14,35.8974358974359
2023-01-04,제주,21,청년,남,커뮤니티 청소 활동,7,33.33333333333333
2023-01-04,제주,26,청년,여,커뮤니티 청소 활동,4,15.384615384615385
2023-01-04,제주,8,장년,남,커뮤니티 청소 활동,4,50.0
2023-01-04,제주,27,장년,여,커뮤니티 청소 활동,8,29.629629629629626
2023-01-04,제주,26,노년,남,커뮤니티 청소 활동,6,23.076923076923077
2023-01-04,제주,16,노년,여,커뮤니티 청소 활동,1,6.25
2023-01-04,대구,39,청소년,남,홍보 부스 운영,20,51.28205128205128
2023-01-04,대구,23,청소년,여,홍보 부스 운영,18,78.26086956521739
2023-01-04,대구,25,청년,남,홍보 부스 운영,19,76.0
2023-01-04,대구,39,청년,여,홍보 부스 운영,7,17.94871794871795
2023-01-04,대구,38,장년,남,홍보 부스 운영,18,47.368421052631575
2023-01-04,대구,35,장년,여,홍보 부스 운영,14,40.0
2023-01-04,대구,39,노년,남,홍보 부스 운영,20,51.28205128205128
2023-01-04,대구,28,노년,여,홍보 부스 운영,8,28.57142857142857
2023-01-04,경남,31,청소년,남,게임 및 퀴즈,7,22.58064516129032
2023-01-04,경남,31,청소년,여,게임 및 퀴즈,1,3.225806451612903
2023-01-04,경남,21,청년,남,게임 및 퀴즈,0,0.0
2023-01-04,경남,5,청년,여,게임 및 퀴즈,1,20.0
2023-01-04,경남,3,장년,남,게임 및 퀴즈,1,33.33333333333333
2023-01-04,경남,34,장년,여,게임 및 퀴즈,16,47.05882352941176
2023-01-04,경남,8,노년,남,게임 및 퀴즈,7,87.5
2023-01-04,경남,15,노년,여,게임 및 퀴즈,9,60.0
2023-01-04,강원,20,청소년,남,워크숍 개최,18,90.0
2023-01-04,강원,34,청소년,여,워크숍 개최,13,38.23529411764706
2023-01-04,강원,15,청년,남,워크숍 개최,11,73.33333333333333
2023-01-04,강원,21,청년,여,워크숍 개최,2,9.523809523809524
2023-01-04,강원,17,장년,남,워크숍 개최,5,29.411764705882355
2023-01-04,강원,21,장년,여,워크숍 개최,12,57.14285714285714
2023-01-04,강원,40,노년,남,워크숍 개최,16,40.0
2023-01-04,강원,13,노년,여,워크숍 개최,5,38.46153846153847
2023-01-04,서울,17,청소년,남,홍보 부스 운영,0,0.0
2023-01-04,서울,18,청소년,여,홍보 부스 운영,14,77.77777777777779
2023-01-04,서울,21,청년,남,홍보 부스 운영,15,71.42857142857143
2023-01-04,서울,25,청년,여,홍보 부스 운영,11,44.0
2023-01-04,서울,1,장년,남,홍보 부스 운영,0,0.0
2023-01-04,서울,17,장년,여,홍보 부스 운영,14,82.35294117647058
2023-01-04,서울,29,노년,남,홍보 부스 운영,1,3.4482758620689653
2023-01-04,서울,4,노년,여,홍보 부스 운영,0,0.0
2023-01-05,대구,40,청소년,남,홍보 부스 운영,3,7.5
2023-01-05,대구,10,청소년,여,홍보 부스 운영,5,50.0
2023-01-05,대구,35,청년,남,홍보 부스 운영,0,0.0
2023-01-05,대구,23,청년,여,홍보 부스 운영,15,65.21739130434783
2023-01-05,대구,21,장년,남,홍보 부스 운영,8,38.095238095238095
2023-01-05,대구,15,장년,여,홍보 부스 운영,9,60.0
2023-01-05,대구,10,노년,남,홍보 부스 운영,7,70.0
2023-01-05,대구,20,노년,여,홍보 부스 운영,6,30.0
2023-01-05,광주,9,청소년,남,재활용 품목 수집 이벤트,2,22.22222222222222
2023-01-05,광주,38,청소년,여,재활용 품목 수집 이벤트,19,50.0
2023-01-05,광주,20,청년,남,재활용 품목 수집 이벤트,15,75.0
2023-01-05,광주,25,청년,여,재활용 품목 수집 이벤트,14,56.00000000000001
2023-01-05,광주,32,장년,남,재활용 품목 수집 이벤트,15,46.875
2023-01-05,광주,26,장년,여,재활용 품목 수집 이벤트,10,38.46153846153847
2023-01-05,광주,36,노년,남,재활용 품목 수집 이벤트,19,52.77777777777778
2023-01-05,광주,4,노년,여,재활용 품목 수집 이벤트,3,75.0
2023-01-05,충남,12,청소년,남,커뮤니티 청소 활동,10,83.33333333333334
2023-01-05,충남,5,청소년,여,커뮤니티 청소 활동,0,0.0
2023-01-05,충남,29,청년,남,커뮤니티 청소 활동,19,65.51724137931035
2023-01-05,충남,2,청년,여,커뮤니티 청소 활동,1,50.0
2023-01-05,충남,22,장년,남,커뮤니티 청소 활동,3,13.636363636363635
2023-01-05,충남,2,장년,여,커뮤니티 청소 활동,1,50.0
2023-01-05,충남,24,노년,남,커뮤니티 청소 활동,10,41.66666666666667
2023-01-05,충남,7,노년,여,커뮤니티 청소 활동,1,14.285714285714285
2023-01-05,전북,7,청소년,남,재활용 품목 수집 이벤트,5,71.42857142857143
2023-01-05,전북,23,청소년,여,재활용 품목 수집 이벤트,6,26.08695652173913
2023-01-05,전북,36,청년,남,재활용 품목 수집 이벤트,12,33.33333333333333
2023-01-05,전북,29,청년,여,재활용 품목 수집 이벤트,7,24.137931034482758
2023-01-05,전북,5,장년,남,재활용 품목 수집 이벤트,1,20.0
2023-01-05,전북,33,장년,여,재활용 품목 수집 이벤트,2,6.0606060606060606
2023-01-05,전북,20,노년,남,재활용 품목 수집 이벤트,4,20.0
2023-01-05,전북,19,노년,여,재활용 품목 수집 이벤트,3,15.789473684210526
2023-01-06,대구,10,청소년,남,재활용 품목 수집 이벤트,3,30.0
2023-01-06,대구,29,청소년,여,재활용 품목 수집 이벤트,3,10.344827586206897
2023-01-06,대구,40,청년,남,재활용 품목 수집 이벤트,20,50.0
2023-01-06,대구,7,청년,여,재활용 품목 수집 이벤트,5,71.42857142857143
2023-01-06,대구,10,장년,남,재활용 품목 수집 이벤트,4,40.0
2023-01-06,대구,9,장년,여,재활용 품목 수집 이벤트,4,44.44444444444444
2023-01-06,대구,39,노년,남,재활용 품목 수집 이벤트,17,43.58974358974359
2023-01-06,대구,23,노년,여,재활용 품목 수집 이벤트,9,39.130434782608695
2023-01-06,충남,15,청소년,남,업사이클링 마켓,3,20.0
2023-01-06,충남,29,청소년,여,업사이클링 마켓,4,13.793103448275861
2023-01-06,충남,17,청년,남,업사이클링 마켓,6,35.294117647058826
2023-01-06,충남,38,청년,여,업사이클링 마켓,11,28.947368421052634
2023-01-06,충남,12,장년,남,업사이클링 마켓,3,25.0
2023-01-06,충남,8,장년,여,업사이클링 마켓,3,37.5
2023-01-06,충남,15,노년,남,업사이클링 마켓,14,93.33333333333333
2023-01-06,충남,24,노년,여,업사이클링 마켓,12,50.0
2023-01-06,강원,27,청소년,남,게임 및 퀴즈,1,3.7037037037037033
2023-01-06,강원,28,청소년,여,게임 및 퀴즈,17,60.71428571428571
2023-01-06,강원,21,청년,남,게임 및 퀴즈,20,95.23809523809523
2023-01-06,강원,36,청년,여,게임 및 퀴즈,1,2.7777777777777777
2023-01-06,강원,1,장년,남,게임 및 퀴즈,0,0.0
2023-01-06,강원,5,장년,여,게임 및 퀴즈,2,40.0
2023-01-06,강원,23,노년,남,게임 및 퀴즈,8,34.78260869565217
2023-01-06,강원,6,노년,여,게임 및 퀴즈,2,33.33333333333333
2023-01-06,제주,34,청소년,남,재활용 품목 수집 이벤트,7,20.588235294117645
2023-01-06,제주,40,청소년,여,재활용 품목 수집 이벤트,16,40.0
2023-01-06,제주,35,청년,남,재활용 품목 수집 이벤트,14,40.0
2023-01-06,제주,27,청년,여,재활용 품목 수집 이벤트,8,29.629629629629626
2023-01-06,제주,10,장년,남,재활용 품목 수집 이벤트,5,50.0
2023-01-06,제주,36,장년,여,재활용 품목 수집 이벤트,5,13.88888888888889
2023-01-06,제주,23,노년,남,재활용 품목 수집 이벤트,11,47.82608695652174
2023-01-06,제주,16,노년,여,재활용 품목 수집 이벤트,1,6.25
2023-01-06,서울,28,청소년,남,업사이클링 마켓,16,57.14285714285714
2023-01-06,서울,2,청소년,여,업사이클링 마켓,1,50.0
2023-01-06,서울,19,청년,남,업사이클링 마켓,4,21.052631578947366
2023-01-06,서울,5,청년,여,업사이클링 마켓,1,20.0
2023-01-06,서울,30,장년,남,업사이클링 마켓,2,6.666666666666667
2023-01-06,서울,16,장년,여,업사이클링 마켓,2,12.5
2023-01-06,서울,23,노년,남,업사이클링 마켓,17,73.91304347826086
2023-01-06,서울,5,노년,여,업사이클링 마켓,3,60.0
2023-01-06,세종,35,청소년,남,커뮤니티 청소 활동,3,8.571428571428571
2023-01-06,세종,20,청소년,여,커뮤니티 청소 활동,13,65.0
2023-01-06,세종,36,청년,남,커뮤니티 청소 활동,8,22.22222222222222
2023-01-06,세종,39,청년,여,커뮤니티 청소 활동,9,23.076923076923077
2023-01-06,세종,23,장년,남,커뮤니티 청소 활동,17,73.91304347826086
2023-01-06,세종,38,장년,여,커뮤니티 청소 활동,15,39.473684210526315
2023-01-06,세종,15,노년,남,커뮤니티 청소 활동,11,73.33333333333333
2023-01-06,세종,1,노년,여,커뮤니티 청소 활동,0,0.0
2023-01-06,광주,35,청소년,남,홍보 부스 운영,13,37.142857142857146
2023-01-06,광주,31,청소년,여,홍보 부스 운영,2,6.451612903225806
2023-01-06,광주,9,청년,남,홍보 부스 운영,6,66.66666666666666
2023-01-06,광주,33,청년,여,홍보 부스 운영,11,33.33333333333333
2023-01-06,광주,39,장년,남,홍보 부스 운영,4,10.256410256410255
2023-01-06,광주,16,장년,여,홍보 부스 운영,7,43.75
2023-01-06,광주,10,노년,남,홍보 부스 운영,4,40.0
2023-01-06,광주,17,노년,여,홍보 부스 운영,16,94.11764705882352
2023-01-06,충북,37,청소년,남,홍보 부스 운영,8,21.62162162162162
2023-01-06,충북,9,청소년,여,홍보 부스 운영,1,11.11111111111111
2023-01-06,충북,33,청년,남,홍보 부스 운영,15,45.45454545454545
2023-01-06,충북,9,청년,여,홍보 부스 운영,0,0.0
2023-01-06,충북,19,장년,남,홍보 부스 운영,0,0.0
2023-01-06,충북,8,장년,여,홍보 부스 운영,7,87.5
2023-01-06,충북,3,노년,남,홍보 부스 운영,1,33.33333333333333
2023-01-06,충북,17,노년,여,홍보 부스 운영,4,23.52941176470588
2023-01-07,부산,26,청소년,남,재활용 아트 전시,12,46.15384615384615
2023-01-07,부산,27,청소년,여,재활용 아트 전시,6,22.22222222222222
2023-01-07,부산,11,청년,남,재활용 아트 전시,4,36.36363636363637
2023-01-07,부산,3,청년,여,재활용 아트 전시,1,33.33333333333333
2023-01-07,부산,38,장년,남,재활용 아트 전시,15,39.473684210526315
2023-01-07,부산,32,장년,여,재활용 아트 전시,19,59.375
